trial_id,c_npmi,topic_diversity,outlier_rate,n_topics,r1,r2,r3,n_topics_penalty,rank_sum
trial_01,0.0922712263711094,1.0,0.0,2,1.0,1.0,1.0,0.8,7.0
trial_10,0.0922712263711094,1.0,0.0,2,1.0,1.0,1.0,0.8,7.0
trial_13,0.0922712263711094,1.0,0.0,2,1.0,1.0,1.0,0.8,7.0
trial_00,-0.0062934052913052275,1.0,0.0,2,12.0,1.0,1.0,0.8,18.0
trial_11,-0.0062934052913052275,1.0,0.0,2,12.0,1.0,1.0,0.8,18.0
trial_29,-0.006463863099069905,1.0,0.0,2,14.0,1.0,1.0,0.8,20.0
trial_38,-0.006463863099069905,1.0,0.0,2,14.0,1.0,1.0,0.8,20.0
trial_16,-0.041480045758996754,1.0,0.0,2,22.0,1.0,1.0,0.8,28.0
trial_37,-0.041480045758996754,1.0,0.0,2,22.0,1.0,1.0,0.8,28.0
trial_20,0.0777613241711474,0.7,0.0,2,4.0,38.0,1.0,0.8,47.0
trial_21,0.0777613241711474,0.7,0.0,2,4.0,38.0,1.0,0.8,47.0
trial_33,0.0777613241711474,0.7,0.0,2,4.0,38.0,1.0,0.8,47.0
trial_24,0.05220090977468885,0.7818181818181819,0.14420803782505912,11,7.0,35.0,14.0,0.0,56.0
trial_39,0.030857691099434908,0.8111111111111111,0.28132387706855794,9,10.0,33.0,23.0,0.1,66.5
trial_06,-0.018065021604744626,0.7647058823529411,0.11347517730496454,18,17.0,37.0,13.0,0.0,67.0
trial_31,0.038568319899243156,0.7777777777777778,0.25059101654846333,9,9.0,36.0,22.0,0.1,67.5
trial_09,-0.07762902258220698,0.9571428571428572,0.29550827423167847,7,29.0,11.0,26.0,0.3,67.5
trial_05,-0.08134444944323269,0.9090909090909091,0.14657210401891252,23,31.0,24.0,15.0,0.0,70.0
trial_17,-0.022375848864955843,0.8875,0.28132387706855794,8,18.0,29.0,23.0,0.2,71.0
trial_18,-0.024834334016197543,0.8,0.2198581560283688,10,19.0,34.0,19.0,0.0,72.0
trial_35,-0.027204529376796644,0.912,0.3546099290780142,25,20.0,22.0,31.0,0.0,73.0
trial_30,0.03983104990483032,0.9,0.49645390070921985,8,8.0,26.0,39.0,0.2,74.0
trial_23,-0.017807120684752594,0.8909090909090909,0.32860520094562645,11,16.0,28.0,30.0,0.0,74.0
trial_26,-0.05567851997278423,0.9166666666666666,0.3640661938534279,18,24.0,18.0,32.0,0.0,74.0
trial_34,-0.035034945198209926,0.9083333333333333,0.3262411347517731,24,21.0,25.0,29.0,0.0,75.0
trial_27,-0.06857951440236548,0.92,0.3806146572104019,15,25.0,16.0,34.0,0.0,75.0
trial_28,-0.06857951440236548,0.92,0.3806146572104019,15,25.0,16.0,34.0,0.0,75.0
trial_03,-0.12541309004263917,0.9133333333333333,0.2293144208037825,31,35.0,20.0,20.0,0.0,75.0
trial_32,-0.0693326084526314,0.8725,0.20094562647754138,40,27.0,31.0,18.0,0.0,76.0
trial_15,-0.12321495093147472,0.9,0.19621749408983452,25,34.0,26.0,16.0,0.0,76.0
trial_04,-0.12632822477480893,0.9133333333333333,0.2293144208037825,31,36.0,20.0,20.0,0.0,76.0
trial_22,0.011058662640334456,0.85,0.37825059101654845,8,11.0,32.0,33.0,0.2,77.0
trial_08,-0.13605066940904065,0.93,0.2860520094562648,10,37.0,15.0,25.0,0.0,77.0
trial_07,-0.10492328089734648,0.8851851851851852,0.19621749408983452,28,33.0,30.0,16.0,0.0,79.0
trial_14,-0.1945540551019756,0.9444444444444444,0.3120567375886525,9,40.0,12.0,27.0,0.1,79.5
trial_25,-0.07538287814342767,0.98,0.6264775413711584,5,28.0,10.0,40.0,0.5,80.5
trial_36,-0.080813186752057,0.9105263157894737,0.3144208037825059,19,30.0,23.0,28.0,0.0,81.0
trial_19,-0.10214023946217451,0.9136363636363637,0.39243498817966904,22,32.0,19.0,36.0,0.0,87.0
trial_12,-0.14044239035635786,0.9375,0.4373522458628842,8,38.0,13.0,37.0,0.2,89.0
trial_02,-0.17128842185405455,0.9333333333333333,0.4397163120567376,3,39.0,14.0,38.0,0.7,94.5
