trial_id,n_topics,out_rate,c_npmi,c_uci,umap_used,umap_n_neighbors,umap_n_components,umap_min_dist,hdb_min_cluster_size,hdb_min_samples,hdb_method,vec_ngr,vec_min_df,vec_max_df
trial_00,2,0.0,-0.0062934052913052275,-0.08350882512108652,True,10.0,5.0,0.0,10,,eom,"(1, 1)",2,0.9
trial_01,2,0.0,0.0922712263711094,0.5794775325078892,True,5.0,5.0,0.0,10,,eom,"(1, 2)",2,0.95
trial_02,3,0.4397163120567376,-0.17128842185405455,-6.778498677658846,True,5.0,5.0,0.0,15,,eom,"(1, 3)",2,0.95
trial_03,31,0.2293144208037825,-0.12541309004263917,-6.296846156362927,True,5.0,10.0,0.0,5,5.0,leaf,"(1, 1)",1,0.95
trial_04,31,0.2293144208037825,-0.12632822477480893,-6.2175061395900615,True,5.0,10.0,0.0,5,5.0,leaf,"(1, 1)",3,0.99
trial_05,23,0.14657210401891252,-0.08134444944323269,-5.449295583082233,True,5.0,15.0,0.0,5,,eom,"(1, 2)",2,0.95
trial_06,18,0.11347517730496454,-0.018065021604744626,-3.3741715277953963,True,5.0,15.0,0.0,10,1.0,eom,"(1, 3)",2,0.95
trial_07,28,0.19621749408983452,-0.10492328089734648,-5.724894549406513,True,10.0,5.0,0.0,8,1.0,leaf,"(1, 2)",3,0.95
trial_08,10,0.2860520094562648,-0.13605066940904065,-5.7827533216190385,True,10.0,5.0,0.0,15,1.0,eom,"(1, 1)",1,0.95
trial_09,7,0.29550827423167847,-0.07762902258220698,-5.021273052730074,True,10.0,5.0,0.0,15,5.0,eom,"(1, 3)",2,0.95
trial_10,2,0.0,0.0922712263711094,0.5794775325078892,True,10.0,10.0,0.0,5,,eom,"(1, 2)",1,0.99
trial_11,2,0.0,-0.0062934052913052275,-0.08350882512108652,True,10.0,10.0,0.0,8,5.0,eom,"(1, 1)",1,0.95
trial_12,8,0.4373522458628842,-0.14044239035635786,-6.254882484187171,True,10.0,10.0,0.0,15,5.0,leaf,"(1, 1)",1,0.99
trial_13,2,0.0,0.0922712263711094,0.5794775325078892,True,10.0,15.0,0.0,10,,eom,"(1, 2)",3,0.99
trial_14,9,0.3120567375886525,-0.1945540551019756,-7.5825971913941,True,10.0,15.0,0.0,15,5.0,eom,"(1, 2)",3,0.99
trial_15,25,0.19621749408983452,-0.12321495093147472,-6.33266326217619,True,15.0,5.0,0.0,8,1.0,leaf,"(1, 1)",3,0.95
trial_16,2,0.0,-0.041480045758996754,-3.3096175949561077,True,15.0,10.0,0.0,8,1.0,eom,"(1, 2)",3,0.95
trial_17,8,0.28132387706855794,-0.022375848864955843,-2.761670056189443,True,15.0,10.0,0.0,15,5.0,leaf,"(1, 1)",1,0.99
trial_18,10,0.2198581560283688,-0.024834334016197543,-3.0567736635524776,True,15.0,15.0,0.0,15,1.0,leaf,"(1, 2)",3,0.99
trial_19,22,0.39243498817966904,-0.10214023946217451,-5.97380946418626,True,30.0,5.0,0.0,5,,leaf,"(1, 2)",3,0.99
trial_20,2,0.0,0.0777613241711474,-1.3897656508190752,True,30.0,5.0,0.0,8,,eom,"(1, 1)",3,0.95
trial_21,2,0.0,0.0777613241711474,-1.3897656508190752,True,30.0,5.0,0.0,10,5.0,eom,"(1, 1)",1,0.95
trial_22,8,0.37825059101654845,0.011058662640334456,-2.2124651459084648,True,30.0,5.0,0.0,15,5.0,leaf,"(1, 2)",2,0.95
trial_23,11,0.32860520094562645,-0.017807120684752594,-3.443845024982379,True,30.0,10.0,0.0,10,5.0,leaf,"(1, 2)",1,0.95
trial_24,11,0.14420803782505912,0.05220090977468885,-1.834111911097289,True,30.0,10.0,0.0,15,1.0,leaf,"(1, 3)",3,0.99
trial_25,5,0.6264775413711584,-0.07538287814342767,-5.402616887710402,True,30.0,10.0,0.0,15,,leaf,"(1, 3)",3,0.99
trial_26,18,0.3640661938534279,-0.05567851997278423,-4.6904370379193425,True,30.0,15.0,0.0,5,5.0,leaf,"(1, 2)",2,0.95
trial_27,15,0.3806146572104019,-0.06857951440236548,-4.707821588076302,True,30.0,15.0,0.0,8,5.0,leaf,"(1, 1)",1,0.95
trial_28,15,0.3806146572104019,-0.06857951440236548,-4.707821588076302,True,30.0,15.0,0.0,8,5.0,leaf,"(1, 1)",3,0.99
trial_29,2,0.0,-0.006463863099069905,-2.7346830830482154,True,30.0,15.0,0.0,10,,eom,"(1, 3)",1,0.99
trial_30,8,0.49645390070921985,0.03983104990483032,-2.1444955525346456,True,30.0,15.0,0.0,10,,leaf,"(1, 2)",3,0.99
trial_31,9,0.25059101654846333,0.038568319899243156,-1.4450670385764413,True,30.0,15.0,0.0,15,1.0,leaf,"(1, 2)",1,0.99
trial_32,40,0.20094562647754138,-0.0693326084526314,-5.16871774415935,False,,,,5,1.0,leaf,"(1, 3)",2,0.95
trial_33,2,0.0,0.0777613241711474,-1.3897656508190752,False,,,,5,,eom,"(1, 1)",3,0.99
trial_34,24,0.3262411347517731,-0.035034945198209926,-4.552641320964677,False,,,,5,,leaf,"(1, 3)",1,0.99
trial_35,25,0.3546099290780142,-0.027204529376796644,-4.368341976002315,False,,,,5,,leaf,"(1, 3)",2,0.95
trial_36,19,0.3144208037825059,-0.080813186752057,-5.17858363795297,False,,,,8,5.0,leaf,"(1, 1)",3,0.95
trial_37,2,0.0,-0.041480045758996754,-3.3096175949561077,False,,,,10,,eom,"(1, 2)",3,0.99
trial_38,2,0.0,-0.006463863099069905,-2.7346830830482154,False,,,,10,,eom,"(1, 3)",1,0.99
trial_39,9,0.28132387706855794,0.030857691099434908,-2.146245766791978,False,,,,15,1.0,leaf,"(1, 3)",2,0.99
