DOC_ID,topic,prob
0,7,1.0
1,17,0.1707139268025905
2,8,1.0
3,4,0.1330721746668127
4,7,1.0
5,18,1.0
6,14,1.0
7,31,1.0
8,5,1.0
9,-1,0.04538936449376193
10,11,0.10500321440119109
11,-1,0.0321227512199258
12,-1,0.020572688949091516
13,-1,0.06370514807695303
14,10,1.0
15,-1,0.047398722548209433
16,-1,0.016126138762148877
17,-1,0.04136918172800867
18,10,0.11814324772334221
19,23,1.0
20,9,1.0
21,-1,0.04748985629056254
22,-1,0.013596534261787639
23,8,1.0
24,-1,0.04116048750168565
25,-1,0.09084359827152448
26,6,0.09021693707976039
27,31,1.0
28,8,1.0
29,17,0.04652472636033176
30,9,1.0
31,26,0.030235065615810904
32,26,1.0
33,26,1.0
34,21,1.0
35,5,1.0
36,28,0.4340945478814101
37,-1,0.09192231083224879
38,30,1.0
39,-1,0.08473341786131136
40,15,0.04271534815606358
41,6,1.0
42,30,1.0
43,-1,0.052826019864503894
44,24,1.0
45,6,0.11017751571944873
46,28,1.0
47,20,1.0
48,16,0.26612837955357616
49,29,1.0
50,0,0.056309329306679604
51,19,1.0
52,3,1.0
53,13,1.0
54,27,0.12570801280139357
55,-1,0.07008768842393069
56,-1,0.04910828745234629
57,-1,0.10155800228270244
58,12,0.1292048712210035
59,20,1.0
60,9,1.0
61,2,0.1595708875313878
62,28,1.0
63,0,0.1234508903785868
64,17,1.0
65,2,0.0514105804306986
66,23,1.0
67,-1,0.048846924624117084
68,11,0.1462285607122755
69,25,0.11974240611068453
70,11,1.0
71,14,1.0
72,-1,0.07305666450143158
73,-1,0.02616555942568501
74,2,0.22199606714998474
75,19,1.0
76,-1,0.029882585950524617
77,16,0.07493030161572461
78,31,1.0
79,32,1.0
80,33,1.0
81,0,0.14890119195853546
82,-1,0.09539370110942628
83,3,0.3529727170891223
84,34,1.0
85,-1,0.02625253650323898
86,-1,0.05366031209291184
87,13,0.15606799320153805
88,25,1.0
89,10,1.0
90,8,0.06646830545099325
91,19,0.1215276478128231
92,35,1.0
93,0,0.22420765802068196
94,3,0.1665389821819867
95,18,1.0
96,2,1.0
97,31,1.0
98,25,1.0
99,-1,0.05875054784123731
100,17,1.0
101,-1,0.04289556656387011
102,10,1.0
103,7,0.1281951822342651
104,5,1.0
105,36,1.0
106,30,1.0
107,-1,0.02519876018760161
108,36,1.0
109,4,0.14100212803010365
110,-1,0.08786492181533123
111,0,1.0
112,18,1.0
113,-1,0.04733768607591879
114,5,0.023467613476933186
115,35,1.0
116,13,1.0
117,2,1.0
118,-1,0.04415574853454108
119,3,0.13861991435865306
120,22,0.29561654958102174
121,18,0.07735879658582201
122,22,1.0
123,37,1.0
124,0,1.0
125,19,0.08533331380831055
126,21,0.16840708053891906
127,29,1.0
128,15,0.07837916498017163
129,32,1.0
130,0,0.12377941944980837
131,0,0.1600000932230401
132,17,0.15444769070045716
133,25,1.0
134,6,1.0
135,15,0.06351507775907797
136,4,1.0
137,4,1.0
138,30,0.1282629726828561
139,3,1.0
140,12,1.0
141,25,0.12117735175801093
142,-1,0.058445932678401556
143,24,1.0
144,34,1.0
145,27,1.0
146,-1,0.04794025827691706
147,28,1.0
148,16,1.0
149,11,1.0
150,23,1.0
151,-1,0.01570370867141378
152,37,1.0
153,38,1.0
154,12,1.0
155,18,1.0
156,37,1.0
157,6,1.0
158,-1,0.03137761771430503
159,3,0.07980196401692889
160,6,0.05441945240826879
161,19,1.0
162,35,1.0
163,8,0.05062063890769356
164,0,1.0
165,4,1.0
166,7,1.0
167,6,0.06873052017793765
168,28,1.0
169,17,1.0
170,-1,0.07705210952069422
171,23,1.0
172,29,1.0
173,38,1.0
174,11,0.15173660777719844
175,3,0.1003296910826728
176,-1,0.0362664006044698
177,0,0.09635441519134341
178,-1,0.06137955287969689
179,3,1.0
180,16,0.11483321627669016
181,11,1.0
182,24,1.0
183,5,1.0
184,33,1.0
185,0,1.0
186,21,0.15124777013699656
187,-1,0.022767542952432683
188,23,0.14300717705466118
189,20,1.0
190,8,1.0
191,12,0.07754036928644278
192,-1,0.022271382248627347
193,33,1.0
194,-1,0.07601580454919706
195,-1,0.026130705644899947
196,18,0.05641487714806579
197,28,1.0
198,9,1.0
199,38,1.0
200,8,0.19844237008566476
201,9,1.0
202,-1,0.0829813937007573
203,34,1.0
204,0,0.07544379986961207
205,-1,0.08206623620723726
206,7,0.15459338277861145
207,3,1.0
208,-1,0.024185744890013575
209,2,1.0
210,3,0.13044129507949712
211,-1,0.11518407340609067
212,5,1.0
213,15,1.0
214,12,1.0
215,-1,0.02770871397815554
216,24,1.0
217,7,0.11252614487648116
218,7,0.10643967936881836
219,10,1.0
220,2,0.03983849919737404
221,0,0.13871398798638215
222,-1,0.03940813253847817
223,12,0.09182434532340915
224,20,0.14623797567382238
225,-1,0.0630431477790098
226,26,1.0
227,0,0.06612177307504147
228,-1,0.05825669657610987
229,34,1.0
230,2,0.3610492905855884
231,-1,0.07803817283380206
232,19,1.0
233,7,0.09125570290426117
234,-1,0.006021339652782174
235,2,0.16033348419825574
236,4,1.0
237,-1,0.06026905137689566
238,-1,0.04455116928741831
239,-1,0.03245443093932394
240,-1,0.06611692083909101
241,4,0.11310310520571273
242,13,0.07134872069635033
243,0,1.0
244,3,1.0
245,17,1.0
246,19,1.0
247,26,1.0
248,19,0.11669533716986538
249,8,0.06001650893079522
250,14,1.0
251,30,1.0
252,10,0.0933211161446424
253,22,1.0
254,11,0.2345800892522954
255,-1,0.02251349243336236
256,13,1.0
257,0,0.04430665916304818
258,4,0.11985908919566744
259,1,0.529808203202767
260,-1,0.03323514025097551
261,9,0.12317037390582859
262,5,0.20187303205575566
263,9,1.0
264,6,0.08216301327674634
265,30,1.0
266,0,0.06628497933404455
267,-1,0.03824244270029106
268,38,1.0
269,0,0.08885720641858476
270,-1,0.030682522245568587
271,31,1.0
272,-1,0.06155536222664015
273,-1,0.09091183128411631
274,-1,0.07604974436658182
275,2,0.03942606277308938
276,9,0.1490472224667467
277,24,1.0
278,-1,0.06684776536467414
279,7,0.08304250595818491
280,1,1.0
281,15,1.0
282,-1,0.027528032702563425
283,20,0.15391791767850987
284,5,0.08516152075363101
285,0,0.07590342379308566
286,-1,0.047970792207415514
287,33,1.0
288,35,1.0
289,22,1.0
290,12,1.0
291,18,1.0
292,0,0.05442285670807861
293,32,1.0
294,23,0.023760557715005917
295,12,1.0
296,12,0.12351611820117266
297,2,1.0
298,8,1.0
299,2,1.0
300,6,1.0
301,7,1.0
302,36,1.0
303,-1,0.021526135546708004
304,21,1.0
305,-1,0.10038129332826541
306,16,1.0
307,15,1.0
308,35,1.0
309,27,1.0
310,36,1.0
311,-1,0.024129050719217747
312,26,1.0
313,16,1.0
314,18,0.05616853269365667
315,5,1.0
316,13,1.0
317,-1,0.07998822921886947
318,6,0.07005766035194104
319,25,1.0
320,23,1.0
