u_mass,c_v,c_npmi,stability_jaccard_top10,k
-1.7834212792147384,0.2676748476438549,-0.035416368716464294,0.3747863247863248,5
-2.088618371438375,0.2715728264573157,-0.04879922771187065,0.27740019984602027,10
-2.474262820748605,0.26315468765382555,-0.0697095065739609,0.25694546824577785,15
-2.779747431892875,0.2653000646145763,-0.08303753714380722,0.2305345685032647,20
-3.0935419206774504,0.26699755561542765,-0.09129274568977545,0.24169666247065624,25
-3.268180476153969,0.2651372148281166,-0.10424080037533878,0.22352943276575887,30
