orientador,topic,topic_label,years,slope_per_year,p_first,p_last
"BRUNET, João Arthur Monteiro.",11,topic_11,2,0.017094017094017082,0.038461538461538464,0.05555555555555555
"BAPTISTA, Cláudio de Souza.",0,0_modelos_dados_linguagem_imagens,3,0.016208791208791217,0.05,0.11538461538461539
"GOMES, Herman Martins.",6,6_software_empresas_objetivo_vulnerabilidades,4,0.0160482374768089,0.05,0.13636363636363635
"MOURA, José Antão Beltrão.",5,5_sade_animais_pandemia_dados,3,0.012499999999999999,0.125,0.15
"MOURA, José Antão Beltrão.",6,6_software_empresas_objetivo_vulnerabilidades,3,0.012499999999999995,0.125,0.15
"MORAIS, Fábio Jorge Almeida.",3,3_software_projetos_cdigo_bugs,2,0.010416666666666661,0.03125,0.041666666666666664
"MORAIS, Fábio Jorge Almeida.",5,5_sade_animais_pandemia_dados,2,0.010416666666666661,0.03125,0.041666666666666664
"MORAIS, Fábio Jorge Almeida.",6,6_software_empresas_objetivo_vulnerabilidades,2,0.010416666666666661,0.03125,0.041666666666666664
"MORAIS, Fábio Jorge Almeida.",9,9_ensino_alunos_atividades_evaso,2,0.010416666666666661,0.03125,0.041666666666666664
"MORAIS, Fábio Jorge Almeida.",10,10_oratio_projeto_solid_clean,2,0.010416666666666661,0.03125,0.041666666666666664
"MORAIS, Fábio Jorge Almeida.",11,topic_11,2,0.010416666666666661,0.03125,0.041666666666666664
"MASSONI, Tiago Lima.",6,6_software_empresas_objetivo_vulnerabilidades,4,0.007115384615384617,0.125,0.11538461538461539
"CAMPELO, Claudio Elízio Calazans.",8,8_dados_meio_aplicativos_anlise,4,0.0043749999999999995,0.05,0.05
"MOURA, José Antão Beltrão.",4,4_dados_digital_sobre_privacidade,3,0.004166666666666668,0.041666666666666664,0.05
"MOURA, José Antão Beltrão.",10,10_oratio_projeto_solid_clean,3,0.004166666666666668,0.041666666666666664,0.05
"MOURA, José Antão Beltrão.",11,topic_11,3,0.004166666666666668,0.041666666666666664,0.05
"MOURA, José Antão Beltrão.",1,1_nuvem_recursos_dados_sistema,3,0.004166666666666661,0.041666666666666664,0.05
"MOURA, José Antão Beltrão.",8,8_dados_meio_aplicativos_anlise,3,0.004166666666666661,0.041666666666666664,0.05
"MOURA, José Antão Beltrão.",9,9_ensino_alunos_atividades_evaso,3,0.004166666666666661,0.041666666666666664,0.05
"GOMES, Herman Martins.",2,2_alunos_computao_programao_sistema,4,0.0039888682745825585,0.05,0.045454545454545456
"GOMES, Herman Martins.",8,8_dados_meio_aplicativos_anlise,4,0.0039888682745825585,0.05,0.045454545454545456
"MASSONI, Tiago Lima.",1,1_nuvem_recursos_dados_sistema,4,0.002371794871794872,0.041666666666666664,0.038461538461538464
"MASSONI, Tiago Lima.",7,7_dados_logs_sistemas_banco,4,0.002371794871794872,0.041666666666666664,0.038461538461538464
"MASSONI, Tiago Lima.",10,10_oratio_projeto_solid_clean,4,0.002371794871794872,0.041666666666666664,0.038461538461538464
"CAMPOS, Lívia Maria Rodrigues Sampaio.",5,5_sade_animais_pandemia_dados,3,0.0,0.05555555555555555,0.05555555555555555
"CAMPOS, Lívia Maria Rodrigues Sampaio.",6,6_software_empresas_objetivo_vulnerabilidades,3,0.0,0.05555555555555555,0.05555555555555555
"CAMPOS, Lívia Maria Rodrigues Sampaio.",7,7_dados_logs_sistemas_banco,3,0.0,0.05555555555555555,0.05555555555555555
"CAMPOS, Lívia Maria Rodrigues Sampaio.",8,8_dados_meio_aplicativos_anlise,3,0.0,0.05555555555555555,0.05555555555555555
"CAMPOS, Lívia Maria Rodrigues Sampaio.",10,10_oratio_projeto_solid_clean,3,0.0,0.05555555555555555,0.05555555555555555
"CAMPOS, Lívia Maria Rodrigues Sampaio.",11,topic_11,3,0.0,0.05555555555555555,0.05555555555555555
"RAMALHO, Franklin de Souza.",1,1_nuvem_recursos_dados_sistema,3,0.0,0.05555555555555555,0.05555555555555555
"RAMALHO, Franklin de Souza.",2,2_alunos_computao_programao_sistema,3,0.0,0.05555555555555555,0.05555555555555555
"RAMALHO, Franklin de Souza.",4,4_dados_digital_sobre_privacidade,3,0.0,0.05555555555555555,0.05555555555555555
"RAMALHO, Franklin de Souza.",5,5_sade_animais_pandemia_dados,3,0.0,0.05555555555555555,0.05555555555555555
"RAMALHO, Franklin de Souza.",6,6_software_empresas_objetivo_vulnerabilidades,3,0.0,0.05555555555555555,0.05555555555555555
"RAMALHO, Franklin de Souza.",7,7_dados_logs_sistemas_banco,3,0.0,0.05555555555555555,0.05555555555555555
"RAMALHO, Franklin de Souza.",8,8_dados_meio_aplicativos_anlise,3,0.0,0.05555555555555555,0.05555555555555555
"RAMALHO, Franklin de Souza.",9,9_ensino_alunos_atividades_evaso,3,0.0,0.05555555555555555,0.05555555555555555
"RAMALHO, Franklin de Souza.",11,topic_11,3,0.0,0.05555555555555555,0.05555555555555555
"GHEYI, Rohit.",1,1_nuvem_recursos_dados_sistema,2,-0.001388888888888887,0.05555555555555555,0.05
"GHEYI, Rohit.",2,2_alunos_computao_programao_sistema,2,-0.001388888888888887,0.05555555555555555,0.05
"GHEYI, Rohit.",4,4_dados_digital_sobre_privacidade,2,-0.001388888888888887,0.05555555555555555,0.05
"GHEYI, Rohit.",5,5_sade_animais_pandemia_dados,2,-0.001388888888888887,0.05555555555555555,0.05
"GHEYI, Rohit.",6,6_software_empresas_objetivo_vulnerabilidades,2,-0.001388888888888887,0.05555555555555555,0.05
"GHEYI, Rohit.",7,7_dados_logs_sistemas_banco,2,-0.001388888888888887,0.05555555555555555,0.05
"GHEYI, Rohit.",8,8_dados_meio_aplicativos_anlise,2,-0.001388888888888887,0.05555555555555555,0.05
"GHEYI, Rohit.",9,9_ensino_alunos_atividades_evaso,2,-0.001388888888888887,0.05555555555555555,0.05
"GHEYI, Rohit.",11,topic_11,2,-0.001388888888888887,0.05555555555555555,0.05
"CAMPELO, Claudio Elízio Calazans.",5,5_sade_animais_pandemia_dados,4,-0.0018749999999999997,0.05,0.05
"CAMPELO, Claudio Elízio Calazans.",9,9_ensino_alunos_atividades_evaso,4,-0.0018749999999999997,0.05,0.05
"CAMPELO, Claudio Elízio Calazans.",10,10_oratio_projeto_solid_clean,4,-0.0018749999999999997,0.05,0.05
"CAMPELO, Claudio Elízio Calazans.",11,topic_11,4,-0.0018749999999999997,0.05,0.05
"GOMES, Herman Martins.",3,3_software_projetos_cdigo_bugs,4,-0.002133580705009277,0.05,0.045454545454545456
"GOMES, Herman Martins.",7,7_dados_logs_sistemas_banco,4,-0.002133580705009277,0.05,0.045454545454545456
"GOMES, Herman Martins.",9,9_ensino_alunos_atividades_evaso,4,-0.002133580705009277,0.05,0.045454545454545456
"GOMES, Herman Martins.",11,topic_11,4,-0.002133580705009277,0.05,0.045454545454545456
"BRITO, Andrey Elísio Monteiro.",3,3_software_projetos_cdigo_bugs,3,-0.002777777777777774,0.05555555555555555,0.05
"BRITO, Andrey Elísio Monteiro.",6,6_software_empresas_objetivo_vulnerabilidades,3,-0.002777777777777774,0.05555555555555555,0.05
"BRITO, Andrey Elísio Monteiro.",8,8_dados_meio_aplicativos_anlise,3,-0.002777777777777774,0.05555555555555555,0.05
"BRITO, Andrey Elísio Monteiro.",9,9_ensino_alunos_atividades_evaso,3,-0.002777777777777774,0.05555555555555555,0.05
"BRITO, Andrey Elísio Monteiro.",10,10_oratio_projeto_solid_clean,3,-0.002777777777777774,0.05555555555555555,0.05
"BRITO, Andrey Elísio Monteiro.",11,topic_11,3,-0.002777777777777774,0.05555555555555555,0.05
"PIRES, Carlos Eduardo Santos.",0,0_modelos_dados_linguagem_imagens,2,-0.002777777777777774,0.05555555555555555,0.05
"PIRES, Carlos Eduardo Santos.",1,1_nuvem_recursos_dados_sistema,2,-0.002777777777777774,0.05555555555555555,0.05
"PIRES, Carlos Eduardo Santos.",3,3_software_projetos_cdigo_bugs,2,-0.002777777777777774,0.05555555555555555,0.05
"PIRES, Carlos Eduardo Santos.",6,6_software_empresas_objetivo_vulnerabilidades,2,-0.002777777777777774,0.05555555555555555,0.05
"PIRES, Carlos Eduardo Santos.",10,10_oratio_projeto_solid_clean,2,-0.002777777777777774,0.05555555555555555,0.05
"PIRES, Carlos Eduardo Santos.",11,topic_11,2,-0.002777777777777774,0.05555555555555555,0.05
"BRITO, Andrey Elísio Monteiro.",5,5_sade_animais_pandemia_dados,3,-0.002777777777777781,0.05555555555555555,0.05
"CAMPELO, Claudio Elízio Calazans.",0,0_modelos_dados_linguagem_imagens,4,-0.0031250000000000023,0.15,0.15
"MASSONI, Tiago Lima.",8,8_dados_meio_aplicativos_anlise,4,-0.0031837606837606825,0.041666666666666664,0.038461538461538464
"MASSONI, Tiago Lima.",11,topic_11,4,-0.0031837606837606825,0.041666666666666664,0.038461538461538464
