method,run,trial,K,c_npmi,c_v,diversity@10,sep_jsd,balance,clarity,outliers_pct,scenario,RZ_index,GR_index
lda,run_ROOT,trial_ROOT,5,-0.014791752310016709,0.43601039210354947,0.52,0.38296065225127557,0.9648826207235172,0.8593275547027588,,opt,-0.8400217500141769,-1.3716922340119913
bertopic,run_UNGROUPED,trial_00,5,-0.20355272638852848,0.4575611568403817,0.88,0.7786121565864951,0.7289716451650452,0.715388141509927,0.44680851063829785,opt,-0.96519768867809,-0.5127825322009275
bertopic,run_UNGROUPED,trial_02,6,-0.08433924684844755,0.4401794406596365,0.9,0.6931923967221079,0.826117542733139,0.7491220886027253,0.4562647754137116,opt,-0.2214165255757735,-0.4346516131203592
bertopic,run_UNGROUPED,trial_03,7,-0.0817047848124746,0.47082003220148877,0.9142857142857143,0.6956458845119702,0.9086885508754189,0.7548030569464876,0.5271867612293144,opt,-0.01728934749039268,0.057658001167578854
bertopic,run_UNGROUPED,trial_04,5,-0.1910851157195024,0.43890969558159004,0.86,0.6975202568033627,0.783640476776861,0.8043093151913384,0.5508274231678487,opt,-1.0295019606038376,-0.39088210747493857
bertopic,run_UNGROUPED,trial_05,5,-0.10001721067369114,0.5097918707047079,0.86,0.6944291444867012,0.7493112739992964,0.7624164859238228,0.4988179669030733,opt,-0.0980318360577028,-0.7854458966076205
bertopic,run_UNGROUPED,trial_09,5,-0.15718320612587208,0.48538202141322095,0.88,0.6985559268412986,0.7289716451650452,0.715388141509927,0.44680851063829785,opt,-0.5307624817732399,-1.0758058411712987
bertopic,run_UNGROUPED,trial_10,5,-0.15718320612587208,0.48538202141322095,0.88,0.6985559268412986,0.7289716451650452,0.715388141509927,0.44680851063829785,opt,-0.5307624817732399,-1.0758058411712987
bertopic,run_UNGROUPED,trial_15,7,0.046784691303413575,0.6065677393203338,0.9428571428571428,0.6991037719646418,0.874752117833566,0.7168282334553895,0.5484633569739953,opt,1.5480006631802572,-0.27133153924682585
bertopic,run_UNGROUPED,trial_16,7,0.0659744857413915,0.6412702717792301,0.9,0.7767928482604098,0.874752117833566,0.7168282334553895,0.5484633569739953,opt,1.7211937011455325,0.2750439389153781
bertopic,run_20250831T230602Z,trial_02,6,-0.10364816962787625,0.6505978159772585,0.9166666666666666,0.7964118694248346,0.8359601236154192,0.6491606370470357,0.5011820330969267,opt,0.713266020290412,-0.09842735435195077
bertopic,run_20250831T230602Z,trial_03,32,,0.5026942135711703,0.89375,0.7431078485521072,0.9527068843159245,0.6259126435805692,0.2293144208037825,opt,,0.05964374678505305
bertopic,run_20250831T230602Z,trial_04,32,,0.5007400549962517,0.896875,0.7407559591321291,0.9527068843159245,0.6259126435805692,0.2293144208037825,opt,,0.04310326557849295
bertopic,run_20250831T230602Z,trial_06,19,,0.558908702247524,0.7631578947368421,0.7887656388684514,0.9409809457188111,0.6739024108489315,0.11347517730496454,opt,,0.529696735226868
bertopic,run_20250831T230602Z,trial_08,10,-0.12691867397477052,0.430632870018162,0.9,0.6918583364919813,0.8905002772962636,0.6910758251167218,0.23404255319148937,opt,-0.5432555874745115,-0.35070045671372807
bertopic,run_20250831T230602Z,trial_09,10,-0.14447465208853622,0.49928517548182266,0.88,0.7960405662499628,0.9274753131381483,0.681657115384679,0.29314420803782504,opt,-0.38144867858615666,0.5416713344896509
bertopic,run_20250831T230602Z,trial_12,9,-0.21965074556432002,0.3864499959296761,0.8888888888888888,0.6968434751923678,0.9259782590668009,0.7350611883314511,0.4373522458628842,opt,-1.3875486614277097,0.07272279400015269
bertopic,run_20250831T230602Z,trial_14,10,-0.2064353951189201,0.48528840069191437,0.92,0.7760875846081373,0.9237000216296234,0.702004565930465,0.3120567375886525,opt,-0.7398585920707008,0.4710171028214924
bertopic,run_20250831T230602Z,trial_15,26,,0.4921709386757383,0.8730769230769231,0.7338313652959783,0.960014421531845,0.7049224899422258,0.19621749408983452,opt,,0.38462292913963636
bertopic,run_20250831T230602Z,trial_17,9,-0.07854752183691655,0.5586152558911119,0.8111111111111111,0.675801840881281,0.9136010313525275,0.6308247151964474,0.28132387706855794,opt,0.14131116437650248,-0.6049790223058545
bertopic,run_20250831T230602Z,trial_18,11,-0.10334772416800737,0.5827991531288469,0.7545454545454545,0.7646837994693524,0.9336702159993365,0.6245278498099541,0.2198581560283688,opt,-0.0590016728069121,0.10152788746291982
bertopic,run_20250831T230602Z,trial_19,23,,0.47431770084093017,0.8869565217391304,0.7925182203726262,0.933883762155545,0.5731248908038505,0.39243498817966904,opt,,0.07047574360400866
bertopic,run_20250831T230602Z,trial_22,9,0.004858871438054922,0.613064646925586,0.7555555555555555,0.7652688977203049,0.9221909559551449,0.6523579702388265,0.37825059101654845,opt,0.7906033880263089,0.16652789136850193
bertopic,run_20250831T230602Z,trial_23,12,-0.08745688522712085,0.5081010236768583,0.8333333333333334,0.771350049894783,0.9140186850203094,0.5638788479717393,0.32860520094562645,opt,-0.09842684142657873,-0.22763077360879896
bertopic,run_20250831T230602Z,trial_24,12,0.007560071814801735,0.6058599854512132,0.75,0.789577921470549,0.9262042731060053,0.6036024422926879,0.14420803782505912,opt,0.7580545604932684,0.14312519641145127
bertopic,run_20250831T230602Z,trial_25,6,-0.18548775940508735,0.5511736541676847,0.8833333333333333,0.7988195699015044,0.8928311850741076,0.7534093282811004,0.6264775413711584,opt,-0.38795424954870034,0.6906883265450721
bertopic,run_20250831T230602Z,trial_26,19,,0.556608677189084,0.8894736842105263,0.7866868216016221,0.9111523716635747,0.5043857929568178,0.3640661938534279,opt,,-0.3992359116068545
