model,K,c_v,c_npmi,topic_diversity@10,sep_jsd,balance,clarity,RZ_index,GR_index
LDA (K=5),5,0.4360103921035494,-0.0147917523100167,0.52,0.3829606522512755,0.9648826207235172,0.8593275547027588,-0.9040691591397624,-1.331650096687082
BERTopic alt (K=12),12,0.6058599854512132,0.0075600718148017,0.75,0.789577921470549,0.9262042731060052,0.6036024422926879,0.6800424648862116,0.1323882490792014
