DOC_ID,topic,prob
0,6,1.0
1,5,1.0
2,-1,0.09374986743097645
3,4,1.0
4,6,1.0
5,-1,0.19472446490641537
6,4,1.0
7,2,0.13359166569815376
8,-1,0.17294266057722463
9,-1,0.1883706719449377
10,0,1.0
11,0,0.3801567714138288
12,-1,0.15934636459114804
13,-1,0.16500238419115001
14,1,1.0
15,0,0.13727321080460708
16,-1,0.19807031845254805
17,-1,0.13454939687096626
18,1,1.0
19,-1,0.07240214135068809
20,-1,0.06885121299217498
21,-1,0.10039180562314842
22,-1,0.17120012482617183
23,-1,0.09035549257726987
24,-1,0.15742953114650682
25,0,0.27360648057930187
26,3,1.0
27,2,0.12324418285524145
28,-1,0.10072687133373831
29,5,1.0
30,-1,0.06533828614356732
31,1,1.0
32,1,1.0
33,1,1.0
34,3,0.3672674950438878
35,-1,0.16438266581583463
36,0,0.5414868009709959
37,2,0.31456871964343747
38,9,1.0
39,0,0.27152817932843804
40,-1,0.19145617558464323
41,3,1.0
42,9,1.0
43,-1,0.20663599536396485
44,-1,0.14984369473471146
45,3,1.0
46,0,0.5028851178488192
47,3,0.15128090472450206
48,5,1.0
49,6,1.0
50,2,1.0
51,7,1.0
52,8,1.0
53,3,1.0
54,-1,0.10199758976285458
55,-1,0.16812408063306897
56,5,0.3115406594834268
57,0,0.2666118722867488
58,7,1.0
59,3,0.1435485682800019
60,-1,0.07019810377311897
61,4,1.0
62,0,0.4972700359346909
63,2,1.0
64,5,1.0
65,4,1.0
66,-1,0.07066789995927772
67,0,0.2983329254199371
68,0,1.0
69,1,0.2176103463877646
70,0,1.0
71,4,1.0
72,-1,0.18836426643499138
73,1,0.38226907225462986
74,4,1.0
75,7,1.0
76,3,0.28064824229739876
77,5,1.0
78,2,0.14449989226932936
79,2,0.25700667486047585
80,0,1.0
81,2,1.0
82,0,0.2575307798976987
83,8,1.0
84,0,0.2412181337985936
85,3,0.21228759610814765
86,-1,0.1643978610148293
87,3,1.0
88,1,0.17131778904775566
89,1,1.0
90,-1,0.09081653318230007
91,7,1.0
92,1,0.31244497116017916
93,2,1.0
94,8,1.0
95,-1,0.1881170224494248
96,4,1.0
97,2,0.14470181355833028
98,1,0.20084992463020016
99,1,0.22068771608484195
100,5,1.0
101,-1,0.12511252750655327
102,1,1.0
103,6,1.0
104,-1,0.16069665472875747
105,0,1.0
106,9,1.0
107,-1,0.2331949211736334
108,0,1.0
109,4,1.0
110,4,0.3577505886057348
111,2,1.0
112,-1,0.21365050846793113
113,-1,0.16187245349190416
114,-1,0.12214648357416015
115,1,0.23416599471120358
116,3,1.0
117,4,1.0
118,1,1.0
119,8,1.0
120,5,0.29514880833618123
121,9,1.0
122,5,0.3004327712871693
123,-1,0.0690581295075701
124,2,1.0
125,7,1.0
126,3,0.2883699543662668
127,6,1.0
128,-1,0.18876853460716247
129,2,0.45321842885423375
130,2,1.0
131,2,1.0
132,5,1.0
133,1,0.15572877224254744
134,3,1.0
135,7,1.0
136,4,1.0
137,4,1.0
138,9,1.0
139,8,1.0
140,7,1.0
141,1,0.2133580746580545
