method,run,trial,K,c_npmi,c_v,diversity@10,sep_jsd,balance,clarity,outliers_pct,scenario,RZ_index,GR_index
lda,run_ROOT,trial_ROOT,5,-0.014791752310016709,0.43601039210354947,0.52,0.38296065225127557,0.9648826207235172,0.8593275547027588,,opt,-0.8153725592639325,-1.1532065731622854
bertopic,run_UNGROUPED,trial_00,5,-0.20355272638852848,0.4575611568403817,0.88,0.7786121565864951,0.7289716451650452,0.715388141509927,0.44680851063829785,opt,-0.9493246517171932,-0.3775346710980368
bertopic,run_UNGROUPED,trial_02,6,-0.08433924684844755,0.4401794406596365,0.9,0.6931923967221079,0.826117542733139,0.7491220886027253,0.4562647754137116,opt,-0.22750806178983993,-0.3138199735775747
bertopic,run_UNGROUPED,trial_03,7,-0.0817047848124746,0.47082003220148877,0.9142857142857143,0.6956458845119702,0.9086885508754189,0.7548030569464876,0.5271867612293144,opt,-0.027272455256698552,0.11878830417077685
bertopic,run_UNGROUPED,trial_04,5,-0.1910851157195024,0.43890969558159004,0.86,0.6975202568033627,0.783640476776861,0.8043093151913384,0.5508274231678487,opt,-1.012443229590916,-0.25295227659555175
bertopic,run_UNGROUPED,trial_05,5,-0.10001721067369114,0.5097918707047079,0.86,0.6944291444867012,0.7493112739992964,0.7624164859238228,0.4988179669030733,opt,-0.10106869009949243,-0.6146177490962569
bertopic,run_UNGROUPED,trial_09,5,-0.15718320612587208,0.48538202141322095,0.88,0.6985559268412986,0.7289716451650452,0.715388141509927,0.44680851063829785,opt,-0.5246273498383018,-0.8858178755216501
bertopic,run_UNGROUPED,trial_10,5,-0.15718320612587208,0.48538202141322095,0.88,0.6985559268412986,0.7289716451650452,0.715388141509927,0.44680851063829785,opt,-0.5246273498383018,-0.8858178755216501
bertopic,run_UNGROUPED,trial_15,7,0.046784691303413575,0.6065677393203338,0.9428571428571428,0.6991037719646418,0.874752117833566,0.7168282334553895,0.5484633569739953,opt,1.5043252246524454,-0.18271258512589633
bertopic,run_UNGROUPED,trial_16,7,0.0659744857413915,0.6412702717792301,0.9,0.7767928482604098,0.874752117833566,0.7168282334553895,0.5484633569739953,opt,1.6769073340970422,0.31054137866938136
