DOC_ID,topic,prob
0,2,1.0
1,20,0.1266000365342892
2,6,1.0
3,12,1.0
4,2,1.0
5,22,1.0
6,4,1.0
7,39,1.0
8,23,0.22982846893952838
9,-1,0.011494086216149876
10,28,0.118631063592698
11,11,1.0
12,3,0.05253383490497741
13,9,1.0
14,31,1.0
15,-1,0.04723335635887173
16,-1,0.11053862722839215
17,-1,0.0595607909496865
18,-1,0.12122509948557157
19,26,1.0
20,7,0.2888803504105635
21,-1,0.01255282337130373
22,-1,0.009419343475038488
23,6,1.0
24,-1,0.06243229313394648
25,32,0.09434336754900664
26,10,0.16004708124675263
27,39,1.0
28,6,1.0
29,20,0.054025856306971994
30,7,1.0
31,21,0.06873187237808914
32,21,1.0
33,21,1.0
34,13,0.10539163154806647
35,23,1.0
36,30,1.0
37,-1,0.04465736954191031
38,24,1.0
39,-1,0.04889741688297499
40,3,0.07281545991813858
41,10,1.0
42,24,1.0
43,3,0.08902504492360451
44,9,1.0
45,10,0.10339385295480287
46,30,1.0
47,15,1.0
48,18,0.11062434618860928
49,33,1.0
50,0,0.11643623447824578
51,-1,0.10703939116261267
52,1,1.0
53,14,1.0
54,27,1.0
55,9,1.0
56,-1,0.027023571155959727
57,-1,0.05599837835709535
58,5,1.0
59,15,1.0
60,7,0.25130697873198704
61,8,0.08158887671507545
62,30,1.0
63,0,0.35530613847651704
64,20,1.0
65,8,0.10256448866246749
66,26,1.0
67,-1,0.010867661209922828
68,28,0.12915231245602568
69,16,0.11908390215548616
70,28,1.0
71,4,0.15672632240190928
72,5,0.09143422434218824
73,31,1.0
74,8,0.12962682475460646
75,17,1.0
76,-1,0.02450284953150652
77,-1,0.07891636792386303
78,39,1.0
79,0,0.05231509731255281
80,34,1.0
81,0,0.23091744653423196
82,34,1.0
83,1,0.14718560746994702
84,11,0.1488610390951929
85,-1,0.020372202349373852
86,-1,0.04492072669603636
87,14,0.3299168695595492
88,16,1.0
89,31,1.0
90,6,0.1050217536001512
91,17,1.0
92,35,1.0
93,0,1.0
94,1,0.15516411719994508
95,22,1.0
96,8,1.0
97,39,1.0
98,16,1.0
99,-1,0.054555124446813624
100,20,1.0
101,-1,0.05173555787938929
102,31,1.0
103,2,0.09182418795192948
104,23,0.2602843083066727
105,32,1.0
106,24,1.0
107,-1,0.011075901326985235
108,32,1.0
109,12,0.11116648106708335
110,-1,0.07238672032263989
111,0,1.0
112,22,1.0
113,-1,0.007419982653921848
114,-1,0.06592301813885137
115,35,1.0
116,14,1.0
117,8,1.0
118,-1,0.009424256994706441
119,1,1.0
120,18,1.0
121,22,0.05303156537569405
122,18,0.43101672795598994
123,29,1.0
124,0,1.0
125,17,1.0
126,13,1.0
127,33,1.0
128,3,0.13399668284623212
129,0,0.10967945907283357
130,0,0.28982916017945803
131,0,0.2206495698953241
132,20,0.05134541420104998
133,27,0.140390779655842
134,10,1.0
135,5,1.0
136,12,1.0
137,12,0.2131053769878331
138,24,1.0
139,1,0.21639268262230446
140,5,1.0
141,16,1.0
142,-1,0.051127112450271336
143,9,1.0
144,11,1.0
145,27,1.0
146,-1,0.04559644924820263
147,30,1.0
148,25,1.0
149,-1,0.12548336993457154
150,26,1.0
151,-1,0.009883446815240182
152,29,1.0
153,36,1.0
154,5,1.0
155,22,1.0
156,29,1.0
157,10,1.0
158,11,1.0
159,1,0.06551995365456524
160,10,0.11269414975217967
161,17,1.0
162,35,1.0
