DOC_ID,topic,prob
0,11,1.0
1,6,1.0
2,17,1.0
3,-1,0.030770715341341293
4,11,1.0
5,-1,0.04027695209326291
6,21,1.0
7,-1,0.04348769953209549
8,20,1.0
9,-1,0.03730424225161926
10,1,1.0
11,19,1.0
12,-1,0.08594269884562784
13,23,1.0
14,3,1.0
15,-1,0.02200494698809845
16,-1,0.12835445185846975
17,-1,0.07591501509408732
18,3,0.14165473592035124
19,10,1.0
20,18,1.0
21,-1,0.07065652570417126
22,-1,0.07894318306722939
23,17,1.0
24,-1,0.05592717954033844
25,-1,0.12360839959822252
26,15,0.24269737732787822
27,-1,0.04124804727705638
28,17,1.0
29,2,0.14113036806826995
30,18,1.0
31,14,1.0
32,14,1.0
33,14,1.0
34,5,0.1210941360191793
35,20,1.0
36,1,1.0
37,0,0.19751734871654342
38,9,0.13517940459952774
39,1,0.05439131016844384
40,24,1.0
41,15,1.0
42,9,1.0
43,24,1.0
44,23,1.0
45,15,1.0
46,1,1.0
47,5,1.0
48,2,1.0
49,16,1.0
50,0,0.21190135138024674
51,9,1.0
52,4,1.0
53,22,1.0
54,-1,0.09056394516409737
55,23,1.0
56,2,0.10124562672291662
57,1,0.05599667296693275
58,12,1.0
59,5,1.0
60,18,1.0
61,8,0.07174025862319644
62,1,1.0
63,0,0.28160962210533896
64,6,1.0
65,8,0.07090160713532022
66,10,1.0
67,-1,0.07643541529609389
68,1,1.0
69,13,1.0
70,1,0.1987167486562832
71,21,0.25898272917418635
72,12,1.0
73,3,1.0
74,8,1.0
75,9,1.0
76,-1,0.1210034568628068
77,2,0.17294325665762428
78,0,0.18924573200716208
79,0,0.11310996837774692
80,1,0.09263161435597249
81,0,0.3254362417511389
82,-1,0.14684660808639907
83,4,0.18732139481892604
84,19,1.0
85,-1,0.11148905983262798
86,-1,0.05587127182917571
87,22,1.0
88,13,1.0
89,3,1.0
90,17,1.0
91,9,1.0
92,3,0.14393609277764538
93,0,1.0
94,4,0.26689090660472925
95,-1,0.039002292221871404
96,8,1.0
97,-1,0.040178103829796294
98,13,1.0
99,13,1.0
100,6,1.0
101,-1,0.059279163617926886
102,3,1.0
103,11,1.0
104,20,1.0
105,1,0.084960823096008
106,9,0.10531189521850925
107,-1,0.08900422925683649
108,1,0.08801130550206208
109,-1,0.03315286560126766
110,-1,0.03146001099419827
111,0,1.0
112,-1,0.037227674456252774
113,-1,0.1251938712626619
114,-1,0.09182136301749003
115,3,0.16368221209528785
116,22,1.0
117,8,1.0
118,-1,0.03787275632248999
119,4,1.0
120,2,0.10493895875857273
121,6,1.0
122,2,0.08726050102341393
123,10,0.12804043584874938
124,0,1.0
125,9,1.0
126,5,0.18062721720875205
127,16,1.0
128,24,1.0
129,0,1.0
130,0,0.3338548547268415
131,0,0.2493239173618382
132,6,1.0
133,13,1.0
134,15,1.0
135,12,1.0
136,-1,0.03294079316332725
