orientador,topic,topic_label,P_topic_given_orientador,lift_log,n_docs_orientador_total,n_docs_orientador_assigned,coverage_orientador,n_docs_topic,n_total,coverage
"FARIAS, Adalberto Cajueiro de.",9,9_ensino_alunos_atividades_evaso,0.15789473684210525,1.3200566042293598,7,4,0.5714285714285714,15,7,0.5714285714285714
"FARIAS, Adalberto Cajueiro de.",7,7_dados_logs_sistemas_banco,0.15789473684210525,1.1986957472250923,7,4,0.5714285714285714,17,7,0.5714285714285714
"FARIAS, Adalberto Cajueiro de.",6,6_software_empresas_objetivo_vulnerabilidades,0.15789473684210525,0.5199373041172464,7,4,0.5714285714285714,34,7,0.5714285714285714
"FECHINE, Joseana Macêdo.",8,8_dados_meio_aplicativos_anlise,0.15789473684210525,1.2575362472480256,5,4,0.8,16,5,0.8
"FECHINE, Joseana Macêdo.",5,5_sade_animais_pandemia_dados,0.15789473684210525,0.4365556951781954,5,4,0.8,37,5,0.8
"FECHINE, Joseana Macêdo.",4,4_dados_digital_sobre_privacidade,0.15789473684210525,0.3845959562474843,5,4,0.8,39,5,0.8
"GARCIA, Francilene Procópio.",6,6_software_empresas_objetivo_vulnerabilidades,0.18518518518518517,0.6793650410453486,8,8,1.0,34,8,1.0
"GARCIA, Francilene Procópio.",5,5_sade_animais_pandemia_dados,0.18518518518518517,0.5959834321062975,8,8,1.0,37,8,1.0
"GARCIA, Francilene Procópio.",2,2_alunos_computao_programao_sistema,0.18518518518518517,0.4248351759104681,8,8,1.0,44,8,1.0
"GHEYI, Rohit.",10,10_oratio_projeto_solid_clean,0.22580645161290322,1.6778062392978574,10,10,1.0,15,10,1.0
"GHEYI, Rohit.",3,3_software_projetos_cdigo_bugs,0.22580645161290322,0.6691421872926872,10,10,1.0,42,10,1.0
"GHEYI, Rohit.",0,0_modelos_dados_linguagem_imagens,0.22580645161290322,0.45783309362548047,10,10,1.0,52,10,1.0
"GOMES, Herman Martins.",0,0_modelos_dados_linguagem_imagens,0.2982456140350877,0.7360722252769791,27,23,0.8518518518518519,52,27,0.8518518518518519
"GOMES, Herman Martins.",5,5_sade_animais_pandemia_dados,0.19298245614035087,0.6372263906403466,27,23,0.8518518518518519,37,27,0.8518518518518519
"GOMES, Herman Martins.",10,10_oratio_projeto_solid_clean,0.12280701754385964,1.0687421759484537,27,23,0.8518518518518519,15,27,0.8518518518518519
"GOMES, Reinaldo Cézar de Morais.",1,1_nuvem_recursos_dados_sistema,0.5238095238095238,1.3185143460581485,6,5,0.8333333333333334,51,6,0.8333333333333334
"GOMES, Reinaldo Cézar de Morais.",9,9_ensino_alunos_atividades_evaso,0.047619047619047616,0.12136085700426753,6,5,0.8333333333333334,15,6,0.8333333333333334
"GOMES, Reinaldo Cézar de Morais.",10,10_oratio_projeto_solid_clean,0.047619047619047616,0.12136085700426753,6,5,0.8333333333333334,15,6,0.8333333333333334
"GUERRERO, Dalton Dario Serey.",5,5_sade_animais_pandemia_dados,0.3333333333333333,1.1837700970084166,4,2,0.5,37,4,0.5
"GUERRERO, Dalton Dario Serey.",9,9_ensino_alunos_atividades_evaso,0.06666666666666667,0.45783309362548047,4,2,0.5,15,4,0.5
"GUERRERO, Dalton Dario Serey.",10,10_oratio_projeto_solid_clean,0.06666666666666667,0.45783309362548047,4,2,0.5,15,4,0.5
"LIRA, Melina Mongiovi Brito.",2,2_alunos_computao_programao_sistema,0.2631578947368421,0.7762330627483566,4,4,1.0,44,4,1.0
"LIRA, Melina Mongiovi Brito.",8,8_dados_meio_aplicativos_anlise,0.15789473684210525,1.2575362472480256,4,4,1.0,16,4,1.0
"LIRA, Melina Mongiovi Brito.",3,3_software_projetos_cdigo_bugs,0.15789473684210525,0.31139255222418927,4,4,1.0,42,4,1.0
"MARINHO, Leandro Balby.",0,0_modelos_dados_linguagem_imagens,0.36,0.9242589015233319,9,7,0.7777777777777778,52,9,0.7777777777777778
"MARINHO, Leandro Balby.",7,7_dados_logs_sistemas_banco,0.12,0.9242589015233319,9,7,0.7777777777777778,17,9,0.7777777777777778
"MARINHO, Leandro Balby.",4,4_dados_digital_sobre_privacidade,0.12,0.11015911054572408,9,7,0.7777777777777778,39,9,0.7777777777777778
"MASSONI, Tiago Lima.",6,6_software_empresas_objetivo_vulnerabilidades,0.2112676056338028,0.8111343186764718,34,30,0.8823529411764706,34,34,0.8823529411764706
"MASSONI, Tiago Lima.",3,3_software_projetos_cdigo_bugs,0.2112676056338028,0.6025895667834148,34,30,0.8823529411764706,42,34,0.8823529411764706
"MASSONI, Tiago Lima.",2,2_alunos_computao_programao_sistema,0.15492957746478872,0.2464495252377519,34,30,0.8823529411764706,44,34,0.8823529411764706
"MONTEIRO, João Arthur Brunet.",6,6_software_empresas_objetivo_vulnerabilidades,0.17073170731707318,0.5981020769665829,16,15,0.9375,34,16,0.9375
"MONTEIRO, João Arthur Brunet.",4,4_dados_digital_sobre_privacidade,0.17073170731707318,0.46276072909682076,16,15,0.9375,39,16,0.9375
"MONTEIRO, João Arthur Brunet.",3,3_software_projetos_cdigo_bugs,0.17073170731707318,0.3895573250735257,16,15,0.9375,42,16,0.9375
"MORAIS, Fábio Jorge Almeida.",1,1_nuvem_recursos_dados_sistema,0.2653061224489796,0.638270570334111,23,19,0.8260869565217391,51,23,0.8260869565217391
"MORAIS, Fábio Jorge Almeida.",4,4_dados_digital_sobre_privacidade,0.22448979591836735,0.7364976214335591,23,19,0.8260869565217391,39,23,0.8260869565217391
"MORAIS, Fábio Jorge Almeida.",0,0_modelos_dados_linguagem_imagens,0.1836734693877551,0.25131442828090617,23,19,0.8260869565217391,52,23,0.8260869565217391
"MOURA, José Antão Beltrão.",6,6_software_empresas_objetivo_vulnerabilidades,0.16279069767441862,0.5504740279773283,17,16,0.9411764705882353,34,17,0.9411764705882353
"MOURA, José Antão Beltrão.",3,3_software_projetos_cdigo_bugs,0.16279069767441862,0.3419292760842711,17,16,0.9411764705882353,42,17,0.9411764705882353
"MOURA, José Antão Beltrão.",5,5_sade_animais_pandemia_dados,0.11627906976744186,0.13062018241706422,17,16,0.9411764705882353,37,17,0.9411764705882353
"OLIVEIRA, Maxwell Guimarães de.",4,4_dados_digital_sobre_privacidade,0.23809523809523808,0.7953381214564925,5,5,1.0,39,5,1.0
